cluster_id,n_total,n_unknown,entropy_bits,purity,top_region,top_proportion,top_3_json,p_entropy_lower_tail,null_entropy_mean
0,75,41,3.976449973285123,0.17647058823529413,middletemporal,0.176,"[[""middletemporal"", 0.176], [""lateralorbitofrontal"", 0.088], [""precentral"", 0.088]]",0.462,3.9818063162663764
1,97,52,3.554671690023586,0.24444444444444444,postcentral,0.244,"[[""postcentral"", 0.244], [""inferiortemporal"", 0.111], [""middletemporal"", 0.089]]",0.002,4.031110863681396
2,104,65,3.4278260144039288,0.23076923076923078,inferiortemporal,0.231,"[[""inferiortemporal"", 0.231], [""middletemporal"", 0.179], [""temporalpole"", 0.103]]",0.0,4.042435653374296
3,72,42,3.5077516472406156,0.16666666666666666,caudalmiddlefrontal,0.167,"[[""caudalmiddlefrontal"", 0.167], [""inferiortemporal"", 0.167], [""postcentral"", 0.133]]",0.0,3.961994421271443
4,87,44,3.5654910693917525,0.20930232558139536,middletemporal,0.209,"[[""middletemporal"", 0.209], [""insula"", 0.116], [""inferiortemporal"", 0.116]]",0.0,4.006597807980231
5,87,41,3.4557485760838875,0.17391304347826086,middletemporal,0.174,"[[""middletemporal"", 0.174], [""insula"", 0.174], [""inferiortemporal"", 0.13]]",0.0,4.0150732320968645
6,63,44,3.221097250057956,0.3157894736842105,superiortemporal,0.316,"[[""superiortemporal"", 0.316], [""precentral"", 0.105], [""middletemporal"", 0.105]]",0.0,3.943291511090609
7,77,42,3.914159445145514,0.17142857142857143,precentral,0.171,"[[""precentral"", 0.171], [""superiortemporal"", 0.086], [""insula"", 0.086]]",0.304,3.9763255227250243
8,80,41,3.8165762569354715,0.15384615384615385,precentral,0.154,"[[""precentral"", 0.154], [""middletemporal"", 0.103], [""inferiortemporal"", 0.103]]",0.08,3.9956739296689894
9,74,47,3.5085362260744613,0.25925925925925924,middletemporal,0.259,"[[""middletemporal"", 0.259], [""precentral"", 0.148], [""lateraloccipital"", 0.074]]",0.002,3.9729502539315673
10,76,38,3.885442315790497,0.15789473684210525,inferiortemporal,0.158,"[[""inferiortemporal"", 0.158], [""precentral"", 0.105], [""middletemporal"", 0.105]]",0.236,3.9834010290852526
11,73,45,3.481661512101755,0.17857142857142858,supramarginal,0.179,"[[""supramarginal"", 0.179], [""insula"", 0.143], [""rostralmiddlefrontal"", 0.107]]",0.0,3.9684760881297416
12,59,30,3.732836495710652,0.1724137931034483,insula,0.172,"[[""insula"", 0.172], [""supramarginal"", 0.103], [""bankssts"", 0.103]]",0.12,3.9071799276599797
13,77,47,3.5777471629109447,0.16666666666666666,middletemporal,0.167,"[[""middletemporal"", 0.167], [""postcentral"", 0.133], [""rostralmiddlefrontal"", 0.1]]",0.004,3.9830064911749936
14,68,31,3.891753703408316,0.10810810810810811,inferiortemporal,0.108,"[[""inferiortemporal"", 0.108], [""supramarginal"", 0.108], [""insula"", 0.108]]",0.342,3.947233907523287
15,77,40,3.6558332722407334,0.16216216216216217,middletemporal,0.162,"[[""middletemporal"", 0.162], [""precentral"", 0.135], [""inferiortemporal"", 0.135]]",0.016,3.9795319259264805
16,69,29,3.5684539577019208,0.15,postcentral,0.15,"[[""postcentral"", 0.15], [""rostralmiddlefrontal"", 0.15], [""insula"", 0.125]]",0.006,3.940830961192962
17,58,29,3.4526400467771077,0.27586206896551724,middletemporal,0.276,"[[""middletemporal"", 0.276], [""temporalpole"", 0.103], [""bankssts"", 0.069]]",0.002,3.9020964715993816
18,77,47,3.361406329721843,0.26666666666666666,postcentral,0.267,"[[""postcentral"", 0.267], [""inferiortemporal"", 0.167], [""middletemporal"", 0.1]]",0.0,3.979028626721215
19,88,37,3.883045323026763,0.17647058823529413,insula,0.176,"[[""insula"", 0.176], [""precentral"", 0.098], [""middletemporal"", 0.098]]",0.124,4.015223267751339
