k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
4,0.16562436521053314,139.99068478040763,1.9355473336784192,4,0,136,576,0.7198152832599374
5,0.17554466426372528,124.39583748760163,1.8408824617202133,5,0,73,575,0.9186197593397145
6,0.17115673422813416,113.99608562592906,1.6820731749769475,6,0,11,567,1.0725302222951838
7,0.10576862841844559,108.52210304413474,1.9350171880005467,7,0,24,407,0.8941636311601394
8,0.09527807682752609,102.04693684350853,1.99857446482743,8,0,22,257,0.7150710497362303
9,0.1059434562921524,97.51877137856137,1.8642438738532816,9,0,12,267,0.8432248459799401
10,0.09530042111873627,92.30866574085424,1.9148765606422746,10,0,7,254,0.7881764611032371
11,0.0999346524477005,89.05669459630825,1.934884711494051,11,0,11,289,0.8413551667765676
12,0.09403252601623535,84.88345273871434,2.0310288891505706,12,0,11,253,0.7719075116902165
13,0.09608688950538635,82.01469313461654,1.853445116024854,13,1,1,246,0.8378296441197263
14,0.09713000804185867,79.40791030378313,1.8222622751288022,14,1,1,243,0.8638299051292972
15,0.10435448586940765,76.77524099591943,1.857509478426581,15,0,3,238,0.8694285591472843
16,0.10599267482757568,74.60168276048131,1.774012114275048,16,1,1,240,0.9684331219314497
17,0.11052940785884857,72.34942025520624,1.7605643101718282,17,1,1,232,0.8806967270117236
18,0.11333002150058746,71.82758020214993,1.687065912587598,18,1,1,246,1.017769010921106
19,0.10787586122751236,69.41965120149314,1.7066785134702327,19,1,1,220,0.9218929214056183
20,0.12621824443340302,68.37571780769436,1.7332143986349344,20,1,1,243,1.0330005902144332
